209715416,3.035141224,3.073103062,3.136740877,3.152502073,3.361998677,3.36583101
262144216,3.51235624,3.790495002,3.802832872,3.855502616,3.885070061,4.179741278
314573017,4.503556503,4.625852227,4.677394258,4.731299898,4.788216759,5.116747336
367001817,5.053818702,5.312012201,5.403632855,5.479613913,5.542383702,5.580901779
419430617,5.662157555,6.182270101,6.288363822,6.289622148,6.363707756,6.701121091
471859417,6.911880433,6.986985788,7.035793749,7.252590744,7.318186471,7.743388997
524288217,7.174847639,7.761179355,7.89397584,7.945982036,8.14020366,8.491387251
576717017,8.154428185,8.633213525,8.821456026,8.913384678,8.923158736,9.818472904
629145817,10.353738419,8.646830022,9.380047341,9.402945141,9.503687553,9.556010063
681574617,10.099400952,10.296613107,10.422779303,10.500583064,10.850063199,9.496192777
734003417,10.077958994,10.945805593,11.055408533,11.20669345,11.54319984,11.628645682
786432217,11.0632049,11.801922881,11.97406842,12.005001981,12.130008887,12.685931285
