209715416,1.42556168,1.45931329,1.461141806,1.470906861,1.474970129,1.519605954
262144216,1.807550511,1.811830205,1.816227756,1.846938408,1.891159182,1.930052814
314573017,2.211350538,2.216915495,2.263002794,2.271443503,2.288384656,2.300870862
367001817,2.558808242,2.584419011,2.588296311,2.791799869,2.884145642,2.91258057
419430617,2.895512658,2.92844505,2.945856813,2.9618387,3.025901484,3.914251608
471859417,3.269113597,3.321843842,3.348054901,3.361310526,3.371300182,3.520138871
524288217,3.642159413,3.649490137,3.677431996,3.729550903,3.779999624,3.927353577
576717017,3.981608036,4.063913118,4.120657695,4.127832167,4.151518722,4.180713101
629145817,4.322018795,4.364696457,4.389197788,4.435961368,4.448873524,4.573510207
681574617,4.695064637,4.766384154,4.794092486,4.826120448,4.897613764,5.014556251
734003417,5.097086184,5.180542751,5.325674063,5.33916662,5.346741012,5.351308175
786432217,5.563046848,5.597324024,5.60838741,5.703523952,5.902837126,6.126413618
