209715416,211394560,1675264
262144216,264241152,2076672
314573017,317071360,2494464
367001817,372809728,8192
419430617,422756352,3305472
471859417,479285248,24576
524288217,524341248,8216576
576717017,576761856,9043968
629145817,634109952,4943872
681574617,692297728,8192
734003417,739794944,5754880
786432217,798765056,32768
