209715343,1.626585212,1.703254364,1.829494847,1.913755337
262144143,2.123194957,2.125684722,2.241956993,2.651615856
314572944,2.497005855,2.583029515,2.610750873,2.729589257
367001744,2.974117062,2.999844423,3.060825988,3.974467257
419430544,3.206247895,3.565143172,3.768729142,3.777119089
471859344,3.664147999,3.693803362,3.707282137,3.81525016
524288144,3.787215113,4.274076272,4.954149358,5.833860526
576716944,4.047623662,4.885501629,5.039486314,5.200936221
629145744,4.43726917,5.159986992,5.184283289,5.444000045
681574544,5.293702444,5.334867362,5.58098186,5.716040245
734003344,5.763036035,5.912729813,5.914634193,6.702805241
786432144,6.295772274,6.391558979,7.768206197,8.105513095
