209715343,55.808046e-3,56.856687e-3,67.415331e-3,70.285434e-3
262144143,48.891019e-3,55.909004e-3,90.564326e-3,95.092893e-3
314572944,61.957275e-3,67.736911e-3,81.448421e-3,83.477953e-3
367001744,100.757617e-3,114.510152e-3,74.657366e-3,92.972772e-3
419430544,120.194029e-3,131.076182e-3,86.990859e-3,90.594783e-3
471859344,100.123712e-3,133.598803e-3,181.85025e-3,86.475177e-3
524288144,120.049295e-3,120.60593e-3,124.056424e-3,147.200541e-3
576716944,112.072174e-3,112.368907e-3,134.751882e-3,138.776274e-3
629145744,141.699016e-3,145.248417e-3,152.659305e-3,167.188986e-3
681574544,125.849211e-3,132.606406e-3,145.454622e-3,195.668486e-3
734003344,145.095476e-3,146.61412e-3,167.623504e-3,201.232515e-3
786432144,152.210662e-3,166.913529e-3,177.199661e-3,208.939216e-3
