209715343,1.460085613,2.798828763,2.809765429,2.846573525,2.900095331,2.926567394
262144124,1.895502148,3.439164275,3.479466674,3.555371447,3.576760737,3.825753838
314572925,2.226925512,4.146332197,4.231520967,4.246582293,4.323561162,4.482167207
367001725,2.584919038,4.776923851,4.942152871,5.108081978,5.368831137,5.489815642
419430525,2.907909428,5.426258596,5.717577543,5.788423878,6.009029427,6.112623215
471859325,3.385332844,6.194525595,6.258932401,6.26691097,6.64566262,6.926296571
524288125,3.800910342,6.8142248,7.130469725,7.154539507,7.25361656,7.60902608
576716925,4.104363371,7.463098694,7.664203613,7.730657316,7.752773323,8.063227701
629145725,4.822998871,8.184927434,8.494532677,8.516664594,8.64991119,8.697623107
681574525,4.787517087,8.908423164,9.126655148,9.227444102,9.285782706,9.5169945
734003325,10.142486459,10.169998164,10.178538941,5.17251572,9.658544734,9.723657022
786432125,10.171309242,10.506730346,10.580797426,10.881074137,11.174269226,5.714975379
